,rxn_smarts
2708,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>CC(C)c1cc(C(C)C)c(c(c1)C(C)C)-c2ccccc2P(C3CCCCC3)C4CCCCC4.[Na+].[O-]C(=O)=O>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2709,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>[Fe].[CH]1[CH][CH][C]([CH]1)P(c2ccccc2)c3ccccc3.[CH]4[CH][CH][C]([CH]4)P(c5ccccc5)c6ccccc6.[Na+].[O-]C(=O)=O>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2710,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(cccc15)P(c6ccccc6)c7ccccc7.[Na+].[O-]C(=O)=O>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2711,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>.[Na+].[O-]C(=O)=O>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2712,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>CC(C)(C)P(C(C)(C)C)C(C)(C)C).[Cs+].[F-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2713,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>C1=CC=CC=C1P(C1=CC=CC=C1)C1=CC=CC=C1.[Cs+].[F-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2714,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>C1=C(N(C)C)C=CC=C1P(C(C)(C)C)C(C)(C)C).[Cs+].[F-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2715,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>C1CCCCC1P(C1CCCCC1)C1CCCCC1.[Cs+].[F-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2716,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>C1=CC=CC(C)=C1P(C1=CC=CC=C1C)C1=CC=CC=C1C.[Cs+].[F-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2717,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>CCCCP([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@@]45C[C@@H]6C[C@@H](C[C@@H](C6)C4)C5.[Cs+].[F-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2718,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC.[Cs+].[F-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2719,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>[Fe].CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]2[CH][CH][CH][CH]2)C(C)(C)C.[Cs+].[F-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2720,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>CC(C)c1cc(C(C)C)c(c(c1)C(C)C)-c2ccccc2P(C3CCCCC3)C4CCCCC4.[Cs+].[F-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2721,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>[Fe].[CH]1[CH][CH][C]([CH]1)P(c2ccccc2)c3ccccc3.[CH]4[CH][CH][C]([CH]4)P(c5ccccc5)c6ccccc6.[Cs+].[F-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2722,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(cccc15)P(c6ccccc6)c7ccccc7.[Cs+].[F-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2723,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>.[Cs+].[F-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2724,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>CC(C)(C)P(C(C)(C)C)C(C)(C)C).[K+].[K+].[K+].[O-]P(=O)([O-])[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2725,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>C1=CC=CC=C1P(C1=CC=CC=C1)C1=CC=CC=C1.[K+].[K+].[K+].[O-]P(=O)([O-])[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2726,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>C1=C(N(C)C)C=CC=C1P(C(C)(C)C)C(C)(C)C).[K+].[K+].[K+].[O-]P(=O)([O-])[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2727,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>C1CCCCC1P(C1CCCCC1)C1CCCCC1.[K+].[K+].[K+].[O-]P(=O)([O-])[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2728,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>C1=CC=CC(C)=C1P(C1=CC=CC=C1C)C1=CC=CC=C1C.[K+].[K+].[K+].[O-]P(=O)([O-])[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2729,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>CCCCP([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@@]45C[C@@H]6C[C@@H](C[C@@H](C6)C4)C5.[K+].[K+].[K+].[O-]P(=O)([O-])[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2730,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC.[K+].[K+].[K+].[O-]P(=O)([O-])[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2731,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>[Fe].CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]2[CH][CH][CH][CH]2)C(C)(C)C.[K+].[K+].[K+].[O-]P(=O)([O-])[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2732,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>CC(C)c1cc(C(C)C)c(c(c1)C(C)C)-c2ccccc2P(C3CCCCC3)C4CCCCC4.[K+].[K+].[K+].[O-]P(=O)([O-])[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2733,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>[Fe].[CH]1[CH][CH][C]([CH]1)P(c2ccccc2)c3ccccc3.[CH]4[CH][CH][C]([CH]4)P(c5ccccc5)c6ccccc6.[K+].[K+].[K+].[O-]P(=O)([O-])[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2734,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(cccc15)P(c6ccccc6)c7ccccc7.[K+].[K+].[K+].[O-]P(=O)([O-])[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2735,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>.[K+].[K+].[K+].[O-]P(=O)([O-])[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2736,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>CC(C)(C)P(C(C)(C)C)C(C)(C)C).[K+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2737,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>C1=CC=CC=C1P(C1=CC=CC=C1)C1=CC=CC=C1.[K+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2738,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>C1=C(N(C)C)C=CC=C1P(C(C)(C)C)C(C)(C)C).[K+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2739,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>C1CCCCC1P(C1CCCCC1)C1CCCCC1.[K+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2740,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>C1=CC=CC(C)=C1P(C1=CC=CC=C1C)C1=CC=CC=C1C.[K+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2741,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>CCCCP([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@@]45C[C@@H]6C[C@@H](C[C@@H](C6)C4)C5.[K+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2742,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC.[K+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2743,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>[Fe].CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]2[CH][CH][CH][CH]2)C(C)(C)C.[K+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2744,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>CC(C)c1cc(C(C)C)c(c(c1)C(C)C)-c2ccccc2P(C3CCCCC3)C4CCCCC4.[K+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2745,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>[Fe].[CH]1[CH][CH][C]([CH]1)P(c2ccccc2)c3ccccc3.[CH]4[CH][CH][C]([CH]4)P(c5ccccc5)c6ccccc6.[K+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2746,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(cccc15)P(c6ccccc6)c7ccccc7.[K+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2747,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>.[K+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2748,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>CC(C)(C)P(C(C)(C)C)C(C)(C)C).[Li+].[O-]C(C)(C)C>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2749,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>C1=CC=CC=C1P(C1=CC=CC=C1)C1=CC=CC=C1.[Li+].[O-]C(C)(C)C>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2750,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>C1=C(N(C)C)C=CC=C1P(C(C)(C)C)C(C)(C)C).[Li+].[O-]C(C)(C)C>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2751,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>C1CCCCC1P(C1CCCCC1)C1CCCCC1.[Li+].[O-]C(C)(C)C>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2752,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>C1=CC=CC(C)=C1P(C1=CC=CC=C1C)C1=CC=CC=C1C.[Li+].[O-]C(C)(C)C>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2753,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>CCCCP([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@@]45C[C@@H]6C[C@@H](C[C@@H](C6)C4)C5.[Li+].[O-]C(C)(C)C>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2754,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC.[Li+].[O-]C(C)(C)C>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2755,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>[Fe].CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]2[CH][CH][CH][CH]2)C(C)(C)C.[Li+].[O-]C(C)(C)C>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2756,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>CC(C)c1cc(C(C)C)c(c(c1)C(C)C)-c2ccccc2P(C3CCCCC3)C4CCCCC4.[Li+].[O-]C(C)(C)C>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2757,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>[Fe].[CH]1[CH][CH][C]([CH]1)P(c2ccccc2)c3ccccc3.[CH]4[CH][CH][C]([CH]4)P(c5ccccc5)c6ccccc6.[Li+].[O-]C(C)(C)C>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2758,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(cccc15)P(c6ccccc6)c7ccccc7.[Li+].[O-]C(C)(C)C>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2759,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>.[Li+].[O-]C(C)(C)C>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2760,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>CC(C)(C)P(C(C)(C)C)C(C)(C)C).CCN(CC)CC>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2761,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>C1=CC=CC=C1P(C1=CC=CC=C1)C1=CC=CC=C1.CCN(CC)CC>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2762,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>C1=C(N(C)C)C=CC=C1P(C(C)(C)C)C(C)(C)C).CCN(CC)CC>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2763,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>C1CCCCC1P(C1CCCCC1)C1CCCCC1.CCN(CC)CC>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2764,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>C1=CC=CC(C)=C1P(C1=CC=CC=C1C)C1=CC=CC=C1C.CCN(CC)CC>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2765,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>CCCCP([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@@]45C[C@@H]6C[C@@H](C[C@@H](C6)C4)C5.CCN(CC)CC>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2766,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC.CCN(CC)CC>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2767,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>[Fe].CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]2[CH][CH][CH][CH]2)C(C)(C)C.CCN(CC)CC>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2768,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>CC(C)c1cc(C(C)C)c(c(c1)C(C)C)-c2ccccc2P(C3CCCCC3)C4CCCCC4.CCN(CC)CC>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2769,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>[Fe].[CH]1[CH][CH][C]([CH]1)P(c2ccccc2)c3ccccc3.[CH]4[CH][CH][C]([CH]4)P(c5ccccc5)c6ccccc6.CCN(CC)CC>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2770,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(cccc15)P(c6ccccc6)c7ccccc7.CCN(CC)CC>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2771,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>.CCN(CC)CC>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2772,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>CC(C)(C)P(C(C)(C)C)C(C)(C)C).>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2773,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>C1=CC=CC=C1P(C1=CC=CC=C1)C1=CC=CC=C1.>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2774,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>C1=C(N(C)C)C=CC=C1P(C(C)(C)C)C(C)(C)C).>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2775,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>C1CCCCC1P(C1CCCCC1)C1CCCCC1.>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2776,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>C1=CC=CC(C)=C1P(C1=CC=CC=C1C)C1=CC=CC=C1C.>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2777,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>CCCCP([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@@]45C[C@@H]6C[C@@H](C[C@@H](C6)C4)C5.>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2778,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC.>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2779,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>[Fe].CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]2[CH][CH][CH][CH]2)C(C)(C)C.>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2780,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>CC(C)c1cc(C(C)C)c(c(c1)C(C)C)-c2ccccc2P(C3CCCCC3)C4CCCCC4.>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2781,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>[Fe].[CH]1[CH][CH][C]([CH]1)P(c2ccccc2)c3ccccc3.[CH]4[CH][CH][C]([CH]4)P(c5ccccc5)c6ccccc6.>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2782,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(cccc15)P(c6ccccc6)c7ccccc7.>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2783,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>.>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2784,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>CC(C)(C)P(C(C)(C)C)C(C)(C)C).[Na+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2785,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>C1=CC=CC=C1P(C1=CC=CC=C1)C1=CC=CC=C1.[Na+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2786,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>C1=C(N(C)C)C=CC=C1P(C(C)(C)C)C(C)(C)C).[Na+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
2787,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B4OC(C)(C)C(C)(C)O4>C1CCCCC1P(C1CCCCC1)C1CCCCC1.[Na+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
